# frequency_THz	T_Zmin(1),Zmax(1)
37.5	0.0
37.49593994122427	0.0
37.476136363636364	3.239999999999999e-130
37.45227272727273	3.2400000000000005e-130
37.428409090909085	3.239999999999999e-130
37.404545454545456	3.2400000000000005e-130
37.38068181818181	3.239999999999999e-130
37.35681818181818	3.239999999999999e-130
37.33295454545455	3.239999999999999e-130
37.309090909090905	3.2400000000000005e-130
37.285227272727276	3.239999999999999e-130
37.26136363636363	3.239999999999999e-130
37.237500000000004	3.2400000000000005e-130
37.21363636363636	3.239999999999999e-130
37.18977272727273	3.239999999999999e-130
37.16590909090909	3.239999999999999e-130
37.142045454545446	3.239999999999999e-130
37.11818181818182	3.239999999999999e-130
37.09431818181818	3.239999999999999e-130
37.07045454545455	2.889999999999999e-130
37.0465909090909	2.889999999999999e-130
37.02272727272727	2.889999999999999e-130
36.99886363636363	2.889999999999999e-130
36.975	2.8899999999999996e-130
36.951136363636365	2.889999999999999e-130
36.92727272727273	2.8899999999999984e-130
36.903409090909086	2.889999999999999e-130
36.87954545454545	2.889999999999999e-130
36.85568181818182	2.889999999999999e-130
36.83181818181817	2.8899999999999984e-130
36.807954545454535	2.8899999999999996e-130
36.78409090909091	2.889999999999999e-130
36.76022727272727	2.889999999999999e-130
36.73636363636364	2.889999999999999e-130
36.7125	2.889999999999999e-130
36.68863636363636	2.889999999999999e-130
36.66477272727273	0.0
36.64090909090909	2.8899999999999996e-130
36.617045454545455	2.889999999999999e-130
36.59318181818181	2.889999999999999e-130
36.569318181818176	2.889999999999999e-130
36.54545454545455	2.889999999999999e-130
36.521590909090904	2.889999999999999e-130
36.49772727272727	2.8899999999999996e-130
36.47386363636363	2.889999999999999e-130
36.449999999999996	2.889999999999999e-130
36.42613636363636	2.8899999999999996e-130
36.40227272727273	2.889999999999999e-130
36.37840909090909	2.889999999999999e-130
36.354545454545445	2.8899999999999996e-130
36.33068181818182	2.8899999999999984e-130
36.30681818181818	2.889999999999999e-130
36.28295454545454	2.889999999999999e-130
36.2590909090909	2.8899999999999984e-130
36.23522727272727	2.889999999999999e-130
36.211363636363636	2.889999999999999e-130
36.1875	2.889999999999999e-130
36.163636363636364	2.889999999999999e-130
36.13977272727273	2.8899999999999996e-130
36.115909090909085	2.889999999999999e-130
36.092045454545456	2.889999999999999e-130
36.06818181818183	2.889999999999999e-130
36.044318181818184	2.889999999999999e-130
36.02045454545454	2.8899999999999996e-130
35.99659090909091	2.8899999999999996e-130
35.97272727272727	2.559999999999999e-130
35.948863636363626	2.559999999999999e-130
35.925	2.559999999999999e-130
35.90113636363636	2.559999999999999e-130
35.877272727272725	2.559999999999999e-130
35.85340909090909	2.5599999999999984e-130
35.82954545454545	2.559999999999999e-130
35.80568181818182	2.559999999999999e-130
35.78181818181818	2.559999999999999e-130
35.757954545454545	2.559999999999999e-130
35.73409090909091	2.559999999999999e-130
35.71022727272727	2.559999999999999e-130
35.68636363636364	2.559999999999999e-130
35.662499999999994	2.559999999999999e-130
35.638636363636365	2.559999999999999e-130
35.61477272727272	2.559999999999999e-130
35.59090909090908	2.559999999999999e-130
35.56704545454545	2.559999999999999e-130
35.54318181818182	2.559999999999999e-130
35.51931818181818	2.56e-130
35.49545454545455	2.559999999999999e-130
35.471590909090914	2.559999999999999e-130
35.44772727272727	2.559999999999999e-130
35.423863636363635	2.559999999999999e-130
35.4	2.5599999999999984e-130
35.37613636363636	2.559999999999999e-130
35.35227272727273	2.559999999999999e-130
35.32840909090908	0.0
35.30454545454546	2.559999999999999e-130
35.28068181818182	2.559999999999999e-130
35.256818181818176	2.559999999999999e-130
35.23295454545454	2.559999999999999e-130
35.209090909090904	2.559999999999999e-130
35.185227272727275	2.559999999999999e-130
35.16136363636363	2.559999999999999e-130
35.137499999999996	2.559999999999999e-130
35.11363636363637	2.5599999999999984e-130
35.08977272727273	2.559999999999999e-130
35.06590909090908	2.56e-130
35.042045454545445	2.559999999999999e-130
35.01818181818182	2.5599999999999984e-130
34.99431818181817	2.56e-130
34.97045454545455	2.559999999999999e-130
34.9465909090909	2.559999999999999e-130
34.922727272727265	2.559999999999999e-130
34.898863636363636	2.559999999999999e-130
34.87500000000001	2.559999999999999e-130
34.85113636363636	2.559999999999999e-130
34.82727272727273	2.559999999999999e-130
34.803409090909085	2.559999999999999e-130
34.77954545454545	2.249999999999999e-130
34.75568181818181	2.249999999999999e-130
34.73181818181818	2.249999999999999e-130
34.70795454545454	2.249999999999999e-130
34.684090909090905	2.249999999999999e-130
34.660227272727276	2.2499999999999988e-130
34.63636363636364	2.249999999999999e-130
34.6125	2.249999999999999e-130
34.58863636363636	2.25e-130
34.564772727272725	2.249999999999999e-130
34.54090909090909	2.25e-130
34.517045454545446	2.249999999999999e-130
34.49318181818182	2.249999999999999e-130
34.46931818181818	2.249999999999999e-130
34.445454545454545	2.249999999999999e-130
34.42159090909091	2.249999999999999e-130
34.39772727272728	2.249999999999999e-130
34.37386363636363	2.25e-130
34.35000000000001	2.2499999999999988e-130
34.32613636363637	2.2499999999999988e-130
34.30227272727272	2.249999999999999e-130
34.27840909090909	2.2499999999999988e-130
34.25454545454546	0.0
34.230681818181814	2.249999999999999e-130
34.20681818181817	2.249999999999999e-130
34.18295454545455	2.249999999999999e-130
34.15909090909091	2.249999999999999e-130
34.13522727272727	2.249999999999999e-130
34.111363636363635	2.249999999999999e-130
34.0875	2.249999999999999e-130
34.063636363636355	2.2499999999999988e-130
34.03977272727273	2.249999999999999e-130
34.01590909090909	2.25e-130
33.992045454545455	2.249999999999999e-130
33.96818181818181	2.249999999999999e-130
33.944318181818176	2.2499999999999988e-130
33.92045454545455	2.25e-130
33.89659090909091	2.249999999999999e-130
33.872727272727275	2.249999999999999e-130
33.84886363636363	2.249999999999999e-130
33.824999999999996	2.249999999999999e-130
33.80113636363637	2.2499999999999988e-130
33.777272727272724	2.249999999999999e-130
33.753409090909095	2.249999999999999e-130
33.72954545454545	2.249999999999999e-130
33.705681818181816	2.249999999999999e-130
33.68181818181818	2.249999999999999e-130
33.657954545454544	2.249999999999999e-130
33.63409090909091	2.249999999999999e-130
33.61022727272727	2.25e-130
33.58636363636363	2.249999999999999e-130
33.5625	2.249999999999999e-130
33.538636363636364	2.249999999999999e-130
33.51477272727272	2.249999999999999e-130
33.490909090909085	2.249999999999999e-130
33.467045454545456	2.25e-130
33.44318181818182	2.249999999999999e-130
33.41931818181818	2.249999999999999e-130
33.39545454545454	1.9599999999999997e-130
33.37159090909091	1.9599999999999997e-130
33.34772727272727	1.96e-130
33.32386363636364	1.959999999999999e-130
33.3	1.9599999999999997e-130
33.27613636363636	1.9599999999999997e-130
33.252272727272725	1.959999999999999e-130
33.22840909090909	1.9599999999999997e-130
33.20454545454545	1.9599999999999997e-130
33.18068181818181	1.96e-130
33.156818181818174	1.9599999999999997e-130
33.132954545454545	1.959999999999999e-130
33.10909090909091	1.9600000000000005e-130
33.08522727272727	1.959999999999999e-130
33.06136363636364	1.9599999999999997e-130
33.0375	1.9599999999999997e-130
33.013636363636365	1.96e-130
32.98977272727273	1.9599999999999997e-130
32.965909090909086	1.9599999999999997e-130
32.94204545454545	1.9599999999999997e-130
32.918181818181814	1.959999999999999e-130
32.894318181818186	1.9599999999999997e-130
32.870454545454535	1.959999999999999e-130
32.8465909090909	1.9599999999999997e-130
32.82272727272726	1.9599999999999997e-130
32.798863636363635	1.96e-130
32.775	1.9599999999999997e-130
32.75113636363636	1.96e-130
32.72727272727272	1.96e-130
32.70340909090909	1.96e-130
32.67954545454546	1.9599999999999997e-130
32.65568181818182	1.9599999999999997e-130
32.63181818181818	1.9599999999999997e-130
32.60795454545455	1.96e-130
32.58409090909091	1.9599999999999997e-130
32.56022727272728	1.9599999999999997e-130
32.53636363636363	0.0
32.5125	1.9599999999999997e-130
32.48863636363637	1.9599999999999997e-130
32.464772727272724	1.9599999999999997e-130
32.44090909090909	1.9599999999999997e-130
32.41704545454545	1.959999999999999e-130
32.393181818181816	1.9599999999999997e-130
32.36931818181818	1.959999999999999e-130
32.345454545454544	1.6899999999999996e-130
32.32159090909091	1.6899999999999996e-130
32.297727272727265	1.6900000000000002e-130
32.27386363636363	1.6899999999999996e-130
32.25	1.6899999999999996e-130
32.22613636363637	1.6899999999999996e-130
32.20227272727272	0.0
32.178409090909085	1.6899999999999996e-130
32.154545454545456	1.6899999999999996e-130
32.13068181818182	1.6899999999999996e-130
32.106818181818184	1.6899999999999996e-130
32.08295454545454	1.6899999999999996e-130
32.05909090909091	1.6899999999999996e-130
32.03522727272727	1.6900000000000002e-130
32.01136363636363	1.6899999999999996e-130
31.987499999999994	1.6899999999999996e-130
31.963636363636365	1.6899999999999996e-130
31.93977272727272	1.6900000000000002e-130
31.915909090909096	1.689999999999999e-130
31.892045454545457	1.6899999999999996e-130
31.868181818181817	1.6899999999999996e-130
31.844318181818178	1.6899999999999996e-130
31.820454545454545	1.689999999999999e-130
31.796590909090906	1.6899999999999996e-130
31.772727272727277	1.6899999999999996e-130
31.748863636363634	1.6900000000000002e-130
31.724999999999998	1.689999999999999e-130
31.701136363636365	1.6899999999999996e-130
31.67727272727273	1.6900000000000006e-130
31.65340909090909	1.6900000000000002e-130
31.629545454545447	1.6899999999999996e-130
31.605681818181818	1.6900000000000002e-130
31.581818181818182	1.6900000000000002e-130
31.557954545454553	1.4399999999999998e-130
31.534090909090903	1.4399999999999992e-130
31.510227272727267	1.4400000000000002e-130
31.486363636363635	1.4400000000000002e-130
31.462500000000006	1.4400000000000002e-130
31.43863636363636	1.4399999999999998e-130
31.414772727272727	1.4399999999999992e-130
31.39090909090909	1.4399999999999998e-130
31.36704545454545	1.4399999999999998e-130
31.343181818181815	1.4400000000000002e-130
31.319318181818176	1.4399999999999998e-130
31.295454545454543	1.4399999999999998e-130
31.271590909090907	1.4399999999999998e-130
31.247727272727275	1.4399999999999998e-130
31.22386363636364	1.4399999999999998e-130
31.2	1.4399999999999998e-130
31.176136363636367	1.4400000000000002e-130
31.152272727272734	1.4400000000000002e-130
31.1284090909091	1.4400000000000002e-130
31.10454545454545	1.4399999999999992e-130
31.080681818181816	1.4399999999999998e-130
31.056818181818187	1.4400000000000002e-130
31.032954545454547	1.4400000000000002e-130
31.00909090909091	1.4399999999999998e-130
30.985227272727265	1.4400000000000002e-130
30.961363636363636	1.4399999999999998e-130
30.937499999999996	0.0
30.913636363636368	1.4399999999999998e-130
30.88977272727272	1.4400000000000002e-130
30.865909090909092	1.4399999999999998e-130
30.842045454545453	1.4399999999999998e-130
30.818181818181813	1.4399999999999998e-130
30.79431818181818	1.4399999999999998e-130
30.77045454545454	1.4399999999999998e-130
30.74659090909091	1.4399999999999998e-130
30.722727272727273	1.4399999999999992e-130
30.698863636363637	1.4399999999999998e-130
30.675000000000004	1.4400000000000002e-130
30.65113636363636	1.4399999999999998e-130
30.627272727272725	1.4400000000000002e-130
30.60340909090909	1.4399999999999998e-130
30.579545454545457	1.4400000000000002e-130
30.55568181818181	1.4400000000000002e-130
30.531818181818174	1.4399999999999998e-130
30.50795454545454	1.4399999999999998e-130
30.48409090909091	1.4399999999999992e-130
30.46022727272728	1.4399999999999998e-130
30.43636363636363	1.4399999999999998e-130
30.4125	1.4399999999999998e-130
30.388636363636365	1.4399999999999998e-130
30.36477272727273	1.4400000000000002e-130
30.34090909090909	1.4399999999999998e-130
30.317045454545454	1.4399999999999992e-130
30.293181818181818	1.4399999999999992e-130
30.269318181818182	1.4399999999999998e-130
30.245454545454546	1.4399999999999998e-130
30.221590909090907	1.4399999999999992e-130
30.19772727272727	1.4399999999999998e-130
30.17386363636364	1.4399999999999992e-130
30.150000000000006	1.4399999999999998e-130
30.126136363636363	1.4399999999999998e-130
30.102272727272723	1.2099999999999998e-130
30.078409090909087	1.2099999999999998e-130
30.05454545454545	1.2099999999999994e-130
30.030681818181822	1.2100000000000002e-130
30.00681818181818	1.2099999999999998e-130
29.982954545454543	1.2099999999999994e-130
29.95909090909091	1.2100000000000002e-130
29.93522727272728	1.2099999999999998e-130
29.911363636363635	1.2099999999999998e-130
29.887500000000003	1.2099999999999998e-130
29.86363636363636	1.2099999999999998e-130
29.839772727272724	1.2099999999999998e-130
29.81590909090909	1.2099999999999998e-130
29.792045454545452	1.2099999999999998e-130
29.768181818181816	1.2099999999999998e-130
29.744318181818176	1.2099999999999998e-130
29.720454545454547	1.2099999999999998e-130
29.69659090909091	1.2099999999999998e-130
29.672727272727265	1.2099999999999998e-130
29.64886363636363	1.2099999999999998e-130
29.625000000000004	1.2099999999999998e-130
29.601136363636364	1.2100000000000002e-130
29.577272727272728	1.2099999999999998e-130
29.55340909090909	1.2099999999999998e-130
29.52954545454545	1.2099999999999998e-130
29.505681818181817	1.2099999999999998e-130
29.48181818181818	1.2099999999999998e-130
29.457954545454538	1.2099999999999998e-130
29.4340909090909	1.2099999999999998e-130
29.41022727272727	1.2099999999999998e-130
29.386363636363637	1.2099999999999998e-130
29.362499999999997	1.2100000000000002e-130
29.33863636363637	1.2099999999999998e-130
29.314772727272725	1.2099999999999998e-130
29.290909090909086	1.2099999999999998e-130
29.267045454545453	0.0
29.243181818181817	1.2100000000000002e-130
29.21931818181818	1.2100000000000002e-130
29.19545454545454	1.2099999999999998e-130
29.17159090909091	1.2099999999999998e-130
29.147727272727273	1.2099999999999998e-130
29.123863636363634	1.2099999999999998e-130
29.1	1.2099999999999998e-130
29.076136363636362	1.2099999999999998e-130
29.05227272727273	1.2099999999999998e-130
29.028409090909086	1.2099999999999998e-130
29.00454545454545	1.2099999999999998e-130
28.980681818181814	1.2099999999999998e-130
28.956818181818182	1.2099999999999998e-130
28.93295454545455	1.2099999999999998e-130
28.90909090909091	1.2099999999999998e-130
28.88522727272727	1.2099999999999994e-130
28.861363636363635	1.2099999999999998e-130
28.837500000000002	1.2099999999999998e-130
28.81363636363636	1.2099999999999998e-130
28.789772727272727	1.2099999999999998e-130
28.765909090909087	1.2099999999999998e-130
28.742045454545455	1.2099999999999998e-130
28.718181818181815	1.2100000000000002e-130
28.69431818181818	1.2099999999999998e-130
28.670454545454543	1.2099999999999998e-130
28.646590909090907	1.2099999999999998e-130
28.622727272727275	1.2099999999999998e-130
28.59886363636364	1.2099999999999994e-130
28.575000000000003	1.2099999999999998e-130
28.55113636363636	1.2099999999999998e-130
28.527272727272724	1.2099999999999998e-130
28.50340909090909	1.2099999999999998e-130
28.479545454545452	1.2099999999999998e-130
28.455681818181816	1.2099999999999998e-130
28.431818181818176	9.999999999999999e-131
28.40795454545454	9.999999999999995e-131
28.384090909090908	9.999999999999999e-131
28.360227272727272	9.999999999999999e-131
28.33636363636363	9.999999999999999e-131
28.312499999999993	9.999999999999999e-131
28.288636363636364	9.999999999999999e-131
28.264772727272728	9.999999999999999e-131
28.240909090909096	9.999999999999999e-131
28.21704545454545	9.999999999999995e-131
28.193181818181813	9.999999999999995e-131
28.169318181818184	9.999999999999999e-131
28.14545454545454	9.999999999999999e-131
28.1215909090909	9.999999999999999e-131
28.097727272727276	9.999999999999999e-131
28.07386363636364	9.999999999999995e-131
28.050000000000004	9.999999999999999e-131
28.026136363636365	9.999999999999999e-131
28.00227272727272	9.999999999999999e-131
27.978409090909086	9.999999999999999e-131
27.954545454545453	9.999999999999999e-131
27.930681818181817	1.0000000000000003e-130
27.90681818181818	9.999999999999999e-131
27.88295454545454	9.999999999999999e-131
27.859090909090913	9.999999999999999e-131
27.835227272727277	9.999999999999995e-131
27.811363636363637	9.999999999999999e-131
27.787499999999998	9.999999999999999e-131
27.763636363636362	9.999999999999999e-131
27.739772727272726	9.999999999999999e-131
27.715909090909093	1.0000000000000003e-130
27.692045454545458	9.999999999999999e-131
27.668181818181814	1.0000000000000003e-130
27.64431818181818	9.999999999999999e-131
27.620454545454546	9.999999999999999e-131
27.596590909090903	0.0
27.572727272727267	9.999999999999999e-131
27.54886363636363	9.999999999999999e-131
27.525	9.999999999999999e-131
27.50113636363637	9.999999999999999e-131
27.477272727272723	1.0000000000000003e-130
27.453409090909094	9.999999999999999e-131
27.429545454545455	9.999999999999999e-131
27.405681818181815	1.0000000000000003e-130
27.381818181818183	9.999999999999999e-131
27.357954545454543	9.999999999999999e-131
27.334090909090907	9.999999999999995e-131
27.310227272727275	8.099999999999999e-131
27.28636363636364	8.099999999999999e-131
27.2625	8.099999999999999e-131
27.238636363636356	8.099999999999999e-131
27.214772727272727	8.099999999999997e-131
27.19090909090909	8.099999999999999e-131
27.16704545454546	8.099999999999999e-131
27.143181818181816	8.099999999999999e-131
27.119318181818183	8.099999999999999e-131
27.095454545454544	8.099999999999997e-131
27.07159090909091	8.099999999999997e-131
27.047727272727276	8.099999999999999e-131
27.02386363636363	8.099999999999997e-131
27.0	8.099999999999997e-131
26.976136363636364	8.099999999999997e-131
26.952272727272728	8.099999999999999e-131
26.928409090909085	8.099999999999999e-131
26.904545454545453	8.099999999999999e-131
26.880681818181817	8.100000000000003e-131
26.85681818181818	8.099999999999999e-131
26.832954545454548	8.099999999999999e-131
26.809090909090905	8.100000000000001e-131
26.785227272727273	8.099999999999999e-131
26.761363636363633	8.099999999999995e-131
26.737499999999997	6.399999999999998e-131
26.71363636363637	6.4e-131
26.68977272727272	6.399999999999998e-131
26.66590909090909	6.399999999999998e-131
26.64204545454545	6.4e-131
26.618181818181817	6.399999999999996e-131
26.594318181818178	6.399999999999998e-131
26.57045454545454	6.399999999999998e-131
26.54659090909091	6.399999999999998e-131
26.522727272727273	6.4e-131
26.498863636363634	6.4e-131
26.475000000000005	6.399999999999995e-131
26.45113636363636	0.0
26.427272727272722	6.4e-131
26.403409090909093	6.399999999999998e-131
26.379545454545454	6.399999999999996e-131
26.355681818181818	6.4e-131
26.33181818181818	6.399999999999995e-131
26.307954545454542	6.399999999999998e-131
26.284090909090914	4.9e-131
26.26022727272727	4.899999999999997e-131
26.23636363636363	4.9e-131
26.2125	4.899999999999999e-131
26.188636363636363	4.9e-131
26.164772727272723	0.0
26.14090909090909	4.899999999999997e-131
26.11704545454546	4.9e-131
26.09318181818182	4.9e-131
26.069318181818183	4.899999999999999e-131
26.045454545454543	4.899999999999997e-131
26.021590909090907	4.899999999999999e-131
25.99772727272727	3.5999999999999964e-131
25.97386363636364	3.5999999999999994e-131
25.95	3.5999999999999994e-131
25.926136363636363	3.5999999999999994e-131
25.902272727272727	3.6000000000000004e-131
25.878409090909088	3.599999999999998e-131
25.85454545454546	3.599999999999998e-131
25.83068181818182	0.0
25.80681818181818	3.5999999999999994e-131
25.782954545454544	3.5999999999999994e-131
25.759090909090908	3.5999999999999994e-131
25.735227272727272	3.5999999999999994e-131
25.711363636363636	3.6000000000000004e-131
25.687499999999996	3.6000000000000004e-131
25.663636363636364	3.6000000000000004e-131
25.639772727272724	3.5999999999999994e-131
25.615909090909092	3.5999999999999994e-131
25.592045454545453	3.5999999999999994e-131
25.568181818181817	2.4999999999999997e-131
25.544318181818184	2.4999999999999997e-131
25.520454545454545	2.5000000000000007e-131
25.49659090909091	2.4999999999999997e-131
25.472727272727273	2.4999999999999997e-131
25.448863636363633	2.5000000000000007e-131
25.425	2.4999999999999987e-131
25.401136363636365	2.4999999999999997e-131
25.377272727272725	2.4999999999999997e-131
25.353409090909093	2.4999999999999997e-131
25.329545454545457	0.0
25.30568181818182	2.4999999999999997e-131
25.28181818181818	2.4999999999999977e-131
25.25795454545454	2.4999999999999997e-131
25.23409090909091	1.6000000000000012e-131
25.210227272727273	1.599999999999999e-131
25.186363636363637	1.6e-131
25.162499999999998	1.6e-131
25.13863636363636	0.0
25.114772727272726	1.6000000000000007e-131
25.090909090909093	1.5999999999999995e-131
25.067045454545454	1.6e-131
25.043181818181818	9.000000000000001e-132
25.019318181818182	9.000000000000001e-132
24.995454545454546	9.000000000000001e-132
24.97159090909091	9.000000000000001e-132
24.947727272727274	9.000000000000001e-132
24.923863636363635	9.000000000000007e-132
24.899999999999995	8.999999999999995e-132
24.876136363636366	9.000000000000005e-132
24.85227272727273	9.000000000000005e-132
24.828409090909094	8.999999999999999e-132
24.804545454545455	9.000000000000001e-132
24.78068181818182	9.000000000000001e-132
24.756818181818183	8.999999999999999e-132
24.732954545454543	3.9999999999999974e-132
24.709090909090907	3.999999999999997e-132
24.68522727272727	4e-132
24.661363636363635	4.000000000000002e-132
24.637500000000003	3.9999999999999974e-132
24.613636363636367	4.0000000000000006e-132
24.589772727272724	4e-132
24.565909090909088	4e-132
24.542045454545452	4e-132
24.518181818181816	0.0
24.494318181818183	4.000000000000002e-132
24.470454545454544	4.0000000000000006e-132
24.446590909090908	3.9999999999999974e-132
24.422727272727276	4.0000000000000043e-132
